Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
L,298.1,308.6,1551,42.8,0
M,298.2,308.7,1408,46.3,3
L,298.1,308.5,1498,49.4,5
L,302.1,310.2,1350,55,150
L,303.5,311,1300,60,180
M,304,312.1,1380,52,200
L,299,309,2800,10,50
M,298.5,308.5,1200,75,40
L,300.2,310.4,2900,8.5,20
L,298,308,1400,50,210
M,297.5,307.5,1350,55,220
L,300,310,1450,48,240
L,300.1,310.5,1600,35,245
M,298.9,309.2,1550,40,235
H,299.5,310.1,1500,38,240
L,304.5,315,1200,70,250
M,295.5,305.5,2850,5,10
L,297.8,308.2,1580,42,215
H,298.2,308.6,1433,39.5,7
L,298.5,309,1500,40,10
L,302.5,310.5,1410,65,100
L,303,311.2,1250,58,210
L,297,308,1150,70,60
H,299.5,310,2750,12,80
L,299.2,309.1,1380,52,230
L,298.8,308.8,1420,58,205
L,301,311.5,1650,30,225
L,300,312,1450,45,150
H,302,310,1300,65,180
L,296,306,1500,40,200
